#id: 3616268379
#name: E.coli str. K-12 substr. MG1655 - Whole organism (Integrated)
#score: 19.7
#coverage: 99
#description: integrated dataset: weighted average of all E.coli str. K-12 substr. MG1655 WHOLE_ORGANISM: 19.7, Coverage: 99
#organ: WHOLE_ORGANISM
#integrated: true
#weights: Escherichia_coli_SC_biomart_29780_E_BTO0000214cellculture_2reps:0.174;ecoli2_resolutionCombination_PRIDE:0.174;ecoli1_HCD_CID_PRIDE:0.077;E_coli_Wisniewski_2014_cpc:0.071;Escherichia_coli_SC_biomart_18119_E__5reps:0.061;Ecoli_Krug_2013:0.054;Ecoli_emPAI_arike_2012:0.054;Ecoli_APEX_arike_2012:0.052;WT-lewis-peptide_count:0.05;Taniguchi_2010_Table_S6:0.048;511145_GPM_201408:0.04;Escherichia_coli_SC_biomart_17112_E__2reps:0.031;Ecoli_Krug_2013_emPAI:0.029;PXD020761_Midha_Sci_Data_2020_Ecoli_DIA-SWATH:0.026;Lu_ecoli_2007:0.02;Ecoli_strainK12_PRIDE:0.017;Ecoli_iBAQ_arike_2012:0.013;Escherichia_coli_SC_biomart_12189_E__2reps:0.01;
#publication_year: 2025
#filename: 511145-WHOLE_ORGANISM-integrated.txt
#
#gene_name	string_external_id	abundance
kdsA	511145.b1215	1309
yajQ	511145.b0426	1300
ybeD	511145.b0631	1296
pgi	511145.b4025	1278
slyB	511145.b1641	1274
slyD	511145.b3349	1271
iscS	511145.b2530	1261
fabD	511145.b1092	1256
fabG	511145.b1093	1253
manX	511145.b1817	1216
hdeB	511145.b3509	1208
arcA	511145.b4401	1207
yciI	511145.b1251	1206
uspF	511145.b1376	1190
osmE	511145.b1739	1187
ybaB	511145.b0471	1187
tktA	511145.b2935	1181
deoD	511145.b4384	1171
eda	511145.b1850	1163
yahO	511145.b0329	1157
rraB	511145.b4255	1150
trpA	511145.b1260	1150
grxD	511145.b1654	1143
hisJ	511145.b2309	1138
stpA	511145.b2669	1136
ygdI	511145.b2809	1125
katG	511145.b3942	1121
asnS	511145.b0930	1110
gdhA	511145.b1761	1109
lrp	511145.b0889	1105
folE	511145.b2153	1105
gnsB	511145.b1550	1098
gadB	511145.b1493	1086
cspA	511145.b3556	1084
pck	511145.b3403	1078
prs	511145.b1207	1075
atpG	511145.b3733	1071
yccJ	511145.b1003	1069
yaeH	511145.b0163	1060
znuA	511145.b1857	1057
yggX	511145.b2962	1047
crp	511145.b3357	1044
rplW	511145.b3318	1042
osmB	511145.b1283	1036
bcp	511145.b2480	1033
ftnA	511145.b1905	1032
atpF	511145.b3736	1029
fldA	511145.b0684	1028
glpK	511145.b3926	1028
ackA	511145.b2296	1027
trpB	511145.b1261	1027
csrA	511145.b2696	1024
ecnB	511145.b4411	1021
infA	511145.b0884	1020
nusA	511145.b3169	1012
rmf	511145.b0953	1010
acs	511145.b4069	991
clpP	511145.b0437	991
sspA	511145.b3229	990
gltI	511145.b0655	987
pepD	511145.b0237	982
elaB	511145.b2266	977
lysS	511145.b2890	971
gmhA	511145.b0222	968
recA	511145.b2699	967
minD	511145.b1175	964
talA	511145.b2464	963
leuA	511145.b0074	955
osmY	511145.b4376	951
thrS	511145.b1719	945
nfuA	511145.b3414	943
iscU	511145.b2529	939
minE	511145.b1174	920
thrC	511145.b0004	918
pfkA	511145.b3916	904
ppc	511145.b3956	904
nusG	511145.b3982	903
ygiW	511145.b3024	903
ftsZ	511145.b0095	899
ompX	511145.b0814	893
panB	511145.b0134	891
atpC	511145.b3731	889
guaA	511145.b2507	882
pspA	511145.b1304	878
pta	511145.b2297	877
rpmJ	511145.b3299	873
htpG	511145.b0473	867
hinT	511145.b1103	866
mreB	511145.b3251	865
aroG	511145.b0754	862
atpH	511145.b3735	860
cydA	511145.b0733	857
accA	511145.b0185	852
